x	y	z
5.874	-0.397862	0.858133
5.875	-0.396944	0.858651
5.876	-0.396026	0.859168
5.877	-0.395108	0.859684
5.878	-0.394189	0.8602
5.879	-0.39327	0.860715
5.88	-0.39235	0.861229
5.881	-0.39143	0.861742
5.882	-0.39051	0.862255
5.883	-0.389589	0.862767
5.884	-0.388668	0.863278
5.885	-0.387746	0.863789
5.886	-0.386824	0.864299
5.887	-0.385902	0.864808
5.888	-0.384979	0.865316
5.889	-0.384056	0.865823
5.89	-0.383133	0.86633
5.891	-0.382209	0.866836
5.892	-0.381284	0.867342
5.893	-0.38036	0.867846
5.894	-0.379435	0.86835
5.895	-0.378509	0.868853
5.896	-0.377584	0.869355
5.897	-0.376657	0.869857
5.898	-0.375731	0.870358
5.899	-0.374804	0.870858
5.9	-0.373877	0.871357
5.901	-0.372949	0.871856
5.902	-0.372021	0.872354
5.903	-0.371093	0.872851
5.904	-0.370164	0.873347
5.905	-0.369235	0.873842
5.906	-0.368305	0.874337
5.907	-0.367375	0.874831
5.908	-0.366445	0.875325
5.909	-0.365514	0.875817
5.91	-0.364583	0.876309
5.911	-0.363652	0.8768
5.912	-0.36272	0.87729
5.913	-0.361788	0.87778
5.914	-0.360856	0.878268
5.915	-0.359923	0.878756
5.916	-0.35899	0.879243
5.917	-0.358056	0.87973
5.918	-0.357122	0.880215
5.919	-0.356188	0.8807
5.92	-0.355254	0.881184
5.921	-0.354319	0.881668
5.922	-0.353383	0.88215
5.923	-0.352448	0.882632
5.924	-0.351512	0.883113
5.925	-0.350575	0.883594
5.926	-0.349639	0.884073
5.927	-0.348702	0.884552
5.928	-0.347764	0.88503
5.929	-0.346826	0.885507
5.93	-0.345888	0.885983
5.931	-0.34495	0.886459
5.932	-0.344011	0.886934
5.933	-0.343072	0.887408
5.934	-0.342132	0.887881
5.935	-0.341193	0.888354
5.936	-0.340252	0.888825
5.937	-0.339312	0.889296
5.938	-0.338371	0.889767
5.939	-0.33743	0.890236
5.94	-0.336488	0.890705
5.941	-0.335547	0.891172
5.942	-0.334604	0.891639
5.943	-0.333662	0.892106
5.944	-0.332719	0.892571
5.945	-0.331776	0.893036
5.946	-0.330832	0.8935
5.947	-0.329888	0.893963
5.948	-0.328944	0.894425
5.949	-0.328	0.894887
5.95	-0.327055	0.895347
5.951	-0.32611	0.895807
5.952	-0.325164	0.896267
5.953	-0.324218	0.896725
5.954	-0.323272	0.897182
5.955	-0.322326	0.897639
5.956	-0.321379	0.898095
5.957	-0.320432	0.89855
5.958	-0.319484	0.899005
5.959	-0.318537	0.899458
5.96	-0.317589	0.899911
5.961	-0.31664	0.900363
5.962	-0.315691	0.900814
5.963	-0.314742	0.901265
5.964	-0.313793	0.901714
5.965	-0.312843	0.902163
5.966	-0.311894	0.902611
5.967	-0.310943	0.903058
5.968	-0.309993	0.903505
5.969	-0.309042	0.90395
5.97	-0.308091	0.904395
5.971	-0.307139	0.904839
5.972	-0.306187	0.905282
5.973	-0.305235	0.905725
5.974	-0.304283	0.906166
5.975	-0.30333	0.906607
5.976	-0.302377	0.907047
5.977	-0.301424	0.907486
5.978	-0.30047	0.907924
5.979	-0.299516	0.908362
5.98	-0.298562	0.908798
5.981	-0.297607	0.909234
5.982	-0.296652	0.909669
5.983	-0.295697	0.910104
5.984	-0.294742	0.910537
5.985	-0.293786	0.91097
5.986	-0.29283	0.911401
5.987	-0.291874	0.911832
5.988	-0.290917	0.912263
5.989	-0.28996	0.912692
5.99	-0.289003	0.91312
5.991	-0.288046	0.913548
5.992	-0.287088	0.913975
5.993	-0.28613	0.914401
5.994	-0.285171	0.914826
5.995	-0.284213	0.915251
5.996	-0.283254	0.915674
5.997	-0.282295	0.916097
5.998	-0.281335	0.916519
5.999	-0.280376	0.91694
6	-0.279415	0.91736
6.001	-0.278455	0.91778
6.002	-0.277495	0.918198
6.003	-0.276534	0.918616
6.004	-0.275573	0.919033
6.005	-0.274611	0.919449
6.006	-0.273649	0.919864
6.007	-0.272688	0.920279
6.008	-0.271725	0.920692
6.009	-0.270763	0.921105
6.01	-0.2698	0.921517
6.011	-0.268837	0.921928
6.012	-0.267874	0.922339
6.013	-0.26691	0.922748
6.014	-0.265946	0.923157
6.015	-0.264982	0.923564
6.016	-0.264018	0.923971
6.017	-0.263053	0.924377
6.018	-0.262088	0.924783
6.019	-0.261123	0.925187
6.02	-0.260157	0.925591
6.021	-0.259192	0.925993
6.022	-0.258226	0.926395
6.023	-0.25726	0.926796
6.024	-0.256293	0.927196
6.025	-0.255326	0.927596
6.026	-0.254359	0.927994
6.027	-0.253392	0.928392
6.028	-0.252425	0.928789
6.029	-0.251457	0.929185
6.03	-0.250489	0.92958
6.031	-0.249521	0.929974
6.032	-0.248552	0.930367
6.033	-0.247584	0.93076
6.034	-0.246615	0.931152
6.035	-0.245645	0.931542
6.036	-0.244676	0.931932
6.037	-0.243706	0.932322
6.038	-0.242736	0.93271
6.039	-0.241766	0.933097
6.04	-0.240795	0.933484
6.041	-0.239825	0.93387
6.042	-0.238854	0.934254
6.043	-0.237883	0.934638
